match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11701609,Ricca G.,ricca-giorgio,M,207,"Roseto degli Abruzzi, Italy",Monselice,1.93,80,right-handed,,2293,43496,106395,1330,RIC,Italy,"Ricca, Giorgio"
11701610,Loccisano M.,loccisano-mike,M,34,,,,,,,,3628,205807,1800,LOC,Germany,"Loccisano, Mike"
11701611,Marino P.,marino-pietro,M,217,,,,,,,5721,10758,326110,868,MAR,Italy,"Marino, Pietro"
11701612,Andaloro F.,andaloro-fabrizio,M,242,,messina,1.85,,,,9019,16822,291790,663,AND,Italy,"Andaloro, Fabrizio"
11701613,Di Natale G.,di-natale-gian-matias,M,118,,Buenos Aires,1.78,,,,4582,7879,236854,930,DI,Argentina,"Di Natale, Gian Matias"
11701614,Picchione A.,picchione-andrea,M,385,,L Aquila,1.83,,right-handed,,14637,42111,281515,525,PIC,Italy,"Picchione, Andrea"
11701615,Rottoli L.,rottoli-lorenzo,M,478,,Como,,,right-handed,,18465,39115,230966,429,ROT,Italy,"Rottoli, Lorenzo"
11701616,Oliveira G.,oliveira-goncalo,M,769,"Alvor, Portugal","Porto, Portugal",1.85,79,left-handed,2012,45059,384489,57759,224,OLI,Portugal,"Oliveira, Gonçalo"
11701617,La Vela G.,la-vela-giuseppe,M,174,,,,,,,5672,11122,290531,755,LA,Italy,"La Vela, Giuseppe"
11701626,Radovanovic N.,radovanovic-nina,F,223,,,,,,,29852,43964,328928,532,RAD,France,"Radovanovic, Nina"
11701627,Özgen P.,ozgen-pemra,F,345,"Istanbul,Turkey","Istanbul, Turkey",1.7,60,right-handed,2004,8634,390210,20347,587,OZG,Turkey,"Özgen, Pemra"
11701632,Garcian A.,garcian-axel,M,133,,Carcassonne,1.78,,right-handed,,4613,19202,280125,1031,GAR,France,"Garcian, Axel"
11701633,Boureau A.,boureau-alexis,M,96,,,,,,,2045,14266,123664,1481,BOU,France,"Boureau, Alexis"
11701634,Wallner M.,wallner-mark,M,110,,Munich,1.96,,,,2415,10665,447446,1274,WAL,Germany,"Wallner, Mark"
11701635,Colne N.,colne-nicolas,M,35,,,,,,,825,1020,421693,1378,COL,France,"Colne, Nicolas"
11701640,Laaksonen H.,laaksonen-henri,M,1264,"Glattpark, Switzerland","Lohja, Finland",1.85,78,right-handed,2009,66613,1980283,17018,565,LAA,Switzerland,"Laaksonen, Henri"
11701645,Trochu P.,trochu-pablo,M,73,,,,,,,3736,5358,340528,1029,TRO,France,"Trochu, Pablo"
11701646,Pel S.,pel-stijn,M,132,,Amsterdam,1.85,,,,2851,6694,327922,1047,PEL,Netherlands,"Pel, Stijn"
11701648,Vujic S.,vujic-stefan,M,109,,,,,,,1755,7477,157518,1454,VUJ,Australia,"Vujic, Stefan"
11701656,Deschamps T.,deschamps-thomas-fra,M,119,,PARIS,1.85,,,,1482,12843,265438,1438,DES,France,"Deschamps, Thomas (Fra)"
11701661,Shin J.,shin-jiho,F,71,,,,,,,2813,10069,256083,1006,SHI,South Korea,"Shin, Jiho"
